Top queries,Clicks,Impressions,CTR,Position
time in london,"1,204","18,930",6.36%,3.4
what time is it in lisbon,12,"2,410",0.5%,14.2
lisbon time now,8,"1,120",0.71%,16.8
7 minute timer,15,"3,300",0.45%,9.1
pomodoro timer,22,"6,800",0.32%,8.7
25 minute timer,310,"9,400",3.3%,2.1
est to pst,140,"7,200",1.94%,5.6
pst to ist,9,"2,100",0.43%,12.3
new york to london time,31,"4,050",0.77%,7.9
cet time,6,"1,900",0.32%,17.5
mst time now,45,"3,600",1.25%,4.2
utc+2 time now,18,910,1.98%,2.8
current time in bangalore,220,"5,100",4.31%,2.4
time in reykjavik,4,780,0.51%,21.3
